Time, Vsupply, ia, dca, current, tension, current_case, frequence, inductance_line
0.224, 4.63, 4.634, 0.0, 4.634, 1.898, 0, 1000, 0.0
0.225, 4.66, 4.661, 0.0, 4.661, 1.898, 0, 1000, 0.0
0.226, 4.63, 4.63, 0.0, 4.63, 1.898, 0, 1000, 0.0
0.227, 4.62, 4.624, 0.0, 4.624, 1.898, 0, 1000, 0.0
0.228, 4.63, 4.627, 0.0, 4.627, 1.898, 0, 1000, 0.0
0.229, 4.67, 4.666, 0.0, 4.666, 1.898, 0, 1000, 0.0
0.23, 4.63, 4.628, 0.0, 4.628, 1.898, 0, 1000, 0.0
0.231, 4.63, 4.633, 0.0, 4.633, 1.898, 0, 1000, 0.0
0.232, 4.65, 4.646, 0.0, 4.646, 1.898, 0, 1000, 0.0
0.233, 4.64, 4.641, 0.0, 4.641, 1.898, 0, 1000, 0.0
0.234, 4.63, 4.63, 0.0, 4.63, 1.898, 0, 1000, 0.0
0.235, 4.63, 4.629, 0.0, 4.629, 1.898, 0, 1000, 0.0
0.236, 4.64, 4.64, 0.0, 4.64, 1.898, 0, 1000, 0.0
0.237, 4.62, 4.623, 0.0, 4.623, 1.898, 0, 1000, 0.0
0.238, 4.64, 4.644, 0.0, 4.644, 1.898, 0, 1000, 0.0
0.239, 4.61, 4.611, 0.0, 4.611, 1.898, 0, 1000, 0.0
0.24, 4.65, 4.65, 0.0, 4.65, 1.898, 0, 1000, 0.0
0.241, 4.64, 4.641, 0.0, 4.641, 1.898, 0, 1000, 0.0
0.242, 4.64, 4.644, 0.0, 4.644, 1.898, 0, 1000, 0.0
0.243, 4.63, 4.629, 0.0, 4.629, 1.898, 0, 1000, 0.0
0.244, 4.66, 4.656, 0.0, 4.656, 1.898, 0, 1000, 0.0
0.245, 4.64, 4.643, 0.0, 4.643, 1.898, 0, 1000, 0.0
0.246, 4.64, 4.635, 0.0, 4.635, 1.898, 0, 1000, 0.0
0.247, 4.63, 4.629, 0.0, 4.629, 1.898, 0, 1000, 0.0
0.248, 4.64, 4.635, 0.0, 4.635, 1.898, 0, 1000, 0.0
0.249, 4.68, 4.68, 0.0, 4.68, 1.898, 0, 1000, 0.0
0.25, 4.6, 4.605, 0.0, 4.605, 1.898, 0, 1000, 0.0
0.251, 4.66, 4.665, 0.0, 4.665, 1.898, 0, 1000, 0.0
0.252, 4.64, 4.644, 0.0, 4.644, 1.898, 0, 1000, 0.0
0.253, 4.61, 4.614, 0.0, 4.614, 1.898, 0, 1000, 0.0
0.254, 4.63, 4.634, 0.0, 4.634, 1.898, 0, 1000, 0.0
0.255, 4.62, 4.623, 0.0, 4.623, 1.898, 0, 1000, 0.0
0.256, 4.64, 4.637, 0.0, 4.637, 1.898, 0, 1000, 0.0
0.257, 4.62, 4.625, 0.0, 4.625, 1.898, 0, 1000, 0.0
0.258, 4.61, 4.611, 0.0, 4.611, 1.898, 0, 1000, 0.0
0.259, 4.68, 4.679, 0.0, 4.679, 1.898, 0, 1000, 0.0
0.26, 4.65, 4.645, 0.0, 4.645, 1.898, 0, 1000, 0.0
0.261, 4.62, 4.616, 0.0, 4.616, 1.898, 0, 1000, 0.0
0.262, 4.62, 4.625, 0.0, 4.625, 1.898, 0, 1000, 0.0
0.263, 4.63, 4.633, 0.0, 4.633, 1.897, 0, 1000, 0.0
0.264, 4.61, 4.615, 0.0, 4.615, 1.897, 0, 1000, 0.0
0.265, 4.65, 4.651, 0.0, 4.651, 1.898, 0, 1000, 0.0
0.266, 4.62, 4.618, 0.0, 4.618, 1.898, 0, 1000, 0.0
0.267, 4.65, 4.648, 0.0, 4.648, 1.898, 0, 1000, 0.0
0.268, 4.65, 4.649, 0.0, 4.649, 1.898, 0, 1000, 0.0
0.269, 4.66, 4.66, 0.0, 4.66, 1.898, 0, 1000, 0.0
0.27, 4.62, 4.621, 0.0, 4.621, 1.898, 0, 1000, 0.0
0.271, 4.63, 4.629, 0.0, 4.629, 1.898, 0, 1000, 0.0
0.272, 4.66, 4.659, 0.0, 4.659, 1.898, 0, 1000, 0.0
0.273, 4.65, 4.651, 0.0, 4.651, 1.898, 0, 1000, 0.0
0.274, 4.65, 4.645, 0.0, 4.645, 1.898, 0, 1000, 0.0
0.275, 4.61, 4.611, 0.0, 4.611, 1.898, 0, 1000, 0.0
0.276, 4.61, 4.606, 0.0, 4.606, 1.898, 0, 1000, 0.0
0.277, 4.6, 4.597, 0.0, 4.597, 1.898, 0, 1000, 0.0
0.278, 4.63, 4.632, 0.0, 4.632, 1.898, 0, 1000, 0.0
0.279, 4.66, 4.657, 0.0, 4.657, 1.898, 0, 1000, 0.0
0.28, 4.62, 4.619, 0.0, 4.619, 1.898, 0, 1000, 0.0
0.281, 4.63, 4.628, 0.0, 4.628, 1.897, 0, 1000, 0.0
0.282, 4.61, 4.61, 0.0, 4.61, 1.897, 0, 1000, 0.0
0.283, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.284, 4.63, 4.628, 0.0, 4.628, 1.897, 0, 1000, 0.0
0.285, 4.65, 4.65, 0.0, 4.65, 1.897, 0, 1000, 0.0
0.286, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.287, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.288, 4.62, 4.625, 0.0, 4.625, 1.897, 0, 1000, 0.0
0.289, 4.66, 4.663, 0.0, 4.663, 1.897, 0, 1000, 0.0
0.29, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.291, 4.62, 4.622, 0.0, 4.622, 1.897, 0, 1000, 0.0
0.292, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.293, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.294, 4.63, 4.628, 0.0, 4.628, 1.897, 0, 1000, 0.0
0.295, 4.63, 4.634, 0.0, 4.634, 1.897, 0, 1000, 0.0
0.296, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.297, 4.66, 4.661, 0.0, 4.661, 1.897, 0, 1000, 0.0
0.298, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.299, 4.64, 4.637, 0.0, 4.637, 1.897, 0, 1000, 0.0
0.3, 4.63, 4.63, 0.0, 4.63, 1.897, 0, 1000, 0.0
0.301, 4.62, 4.62, 0.0, 4.62, 1.897, 0, 1000, 0.0
0.302, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.303, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.304, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.305, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.306, 4.65, 4.654, 0.0, 4.654, 1.897, 0, 1000, 0.0
0.307, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.308, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.309, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.31, 4.64, 4.642, 0.0, 4.642, 1.897, 0, 1000, 0.0
0.311, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.312, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.313, 4.63, 4.631, 0.0, 4.631, 1.897, 0, 1000, 0.0
0.314, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.315, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.316, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.317, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.318, 4.66, 4.663, 0.0, 4.663, 1.897, 0, 1000, 0.0
0.319, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.32, 4.66, 4.662, 0.0, 4.662, 1.897, 0, 1000, 0.0
0.321, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.322, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.323, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.324, 4.63, 4.627, 0.0, 4.627, 1.897, 0, 1000, 0.0
0.325, 4.66, 4.656, 0.0, 4.656, 1.897, 0, 1000, 0.0
0.326, 4.63, 4.634, 0.0, 4.634, 1.897, 0, 1000, 0.0
0.327, 4.65, 4.648, 0.0, 4.648, 1.897, 0, 1000, 0.0
0.328, 4.65, 4.647, 0.0, 4.647, 1.897, 0, 1000, 0.0
0.329, 4.64, 4.635, 0.0, 4.635, 1.897, 0, 1000, 0.0
0.33, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.331, 4.65, 4.653, 0.0, 4.653, 1.897, 0, 1000, 0.0
0.332, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.333, 4.64, 4.636, 0.0, 4.636, 1.897, 0, 1000, 0.0
0.334, 4.62, 4.618, 0.0, 4.618, 1.897, 0, 1000, 0.0
0.335, 4.63, 4.631, 0.0, 4.631, 1.897, 0, 1000, 0.0
0.336, 4.66, 4.657, 0.0, 4.657, 1.897, 0, 1000, 0.0
0.337, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
