Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.396, 17.71, 2.13, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.397, 17.71, 2.223, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.398, 17.71, 2.125, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.399, 17.71, 2.116, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.4, 17.71, 2.242, 2.023, 0.05, 0.051, 0.0, 0.0, 0
0.401, 17.71, 2.254, 2.028, 0.05, 0.054, 0.0, 0.0, 0
0.402, 17.71, 2.238, 2.015, 0.05, 0.054, 0.0, 0.0, 0
0.403, 17.71, 2.273, 2.021, 0.05, 0.054, 0.0, 0.0, 0
0.404, 17.71, 2.185, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.405, 17.71, 2.203, 2.015, 0.05, 0.057, 0.0, 0.0, 0
0.406, 17.71, 2.124, 2.017, 0.05, 0.045, 0.0, 0.0, 0
0.407, 17.71, 2.184, 2.024, 0.05, 0.048, 0.0, 0.0, 0
0.408, 17.71, 2.248, 2.019, 0.05, 0.054, 0.0, 0.0, 0
0.409, 17.71, 2.126, 2.027, 0.05, 0.06, 0.0, 0.0, 0
0.41, 17.71, 2.233, 2.014, 0.05, 0.051, 0.0, 0.0, 0
0.411, 17.71, 2.213, 2.02, 0.05, 0.059, 0.0, 0.0, 0
0.412, 17.71, 2.116, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.413, 17.71, 2.259, 2.028, 0.05, 0.051, 0.0, 0.0, 0
0.414, 17.71, 2.177, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.415, 17.71, 2.147, 2.024, 0.05, 0.06, 0.0, 0.0, 0
0.416, 17.71, 2.238, 2.02, 0.05, 0.051, 0.0, 0.0, 0
0.417, 17.71, 2.188, 2.028, 0.05, 0.06, 0.0, 0.0, 0
0.418, 17.71, 2.199, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.419, 17.71, 2.241, 2.024, 0.05, 0.057, 0.0, 0.0, 0
0.42, 17.71, 2.257, 2.023, 0.05, 0.051, 0.0, 0.0, 0
0.421, 17.71, 2.171, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.422, 17.71, 2.226, 2.015, 0.05, 0.057, 0.0, 0.0, 0
0.423, 17.71, 2.245, 2.021, 0.05, 0.051, 0.0, 0.0, 0
0.424, 17.71, 2.214, 2.026, 0.05, 0.059, 0.0, 0.0, 0
0.425, 17.71, 2.213, 2.023, 0.05, 0.059, 0.0, 0.0, 0
0.426, 17.71, 2.19, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.427, 17.71, 2.134, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.428, 17.71, 2.182, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.429, 17.71, 2.19, 2.026, 0.05, 0.048, 0.0, 0.0, 0
